betting_bm_id,betting_sc_id,betting_name,betting_score,year,performer,song,page_url,contest_round,country_name,country_code
2,-200,BFX*,17.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
4,153,UNIBET,24.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
5,145,BET365,19.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
18,139,YOUWIN,34.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
15,131,BOYLESPORTS,23.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
21,124,CORAL,21.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
13,124,SKYBET,21.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
20,124,BETVICTOR,19.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
22,108,TITANBET,21.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
23,105,BWIN,21.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
6,103,PAF,29.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
11,92,SPORTINGBET,21.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
17,87,INTERTOPS,23.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
1,82,PADDYPOWER,17.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
14,76,BETFRED,26.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
19,72,BETWAY,26.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
16,66,STANJAMES,15.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
30,21,BETFAIRSPORT,17.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
24,12,MATCHBOOK,27.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
2,-200,BFX*,27.0,2015,Born & Rästa,Goodbye to Yesterday,/eurovision/2015/estonia,final,Estonia,Estonia
4,153,UNIBET,30.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
5,145,BET365,34.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
18,139,YOUWIN,41.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
15,131,BOYLESPORTS,26.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
21,124,CORAL,26.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
13,124,SKYBET,34.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
20,124,BETVICTOR,34.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
22,108,TITANBET,29.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
23,105,BWIN,26.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
6,103,PAF,29.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
11,92,SPORTINGBET,34.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
17,87,INTERTOPS,29.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
1,82,PADDYPOWER,26.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
14,76,BETFRED,41.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
19,72,BETWAY,34.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
16,66,STANJAMES,21.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
30,21,BETFAIRSPORT,26.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
24,12,MATCHBOOK,51.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
2,-200,BFX*,52.0,2015,B. Stamenov,Beauty Never Lies,/eurovision/2015/serbia,final,Serbia,Serbia
4,153,UNIBET,30.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
5,145,BET365,34.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
18,139,YOUWIN,41.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
15,131,BOYLESPORTS,34.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
21,124,CORAL,41.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
13,124,SKYBET,41.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
20,124,BETVICTOR,41.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
22,108,TITANBET,41.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
23,105,BWIN,,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
6,103,PAF,26.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
11,92,SPORTINGBET,41.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
17,87,INTERTOPS,29.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
1,82,PADDYPOWER,29.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
14,76,BETFRED,51.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
19,72,BETWAY,34.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
16,66,STANJAMES,34.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
30,21,BETFAIRSPORT,41.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
24,12,MATCHBOOK,70.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
2,-200,BFX*,62.0,2015,Mørland & Scarlett,A Monster Like Me,/eurovision/2015/norway,final,Norway,Norway
4,153,UNIBET,51.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
5,145,BET365,41.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
18,139,YOUWIN,34.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
15,131,BOYLESPORTS,41.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
21,124,CORAL,51.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
13,124,SKYBET,41.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
20,124,BETVICTOR,41.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
22,108,TITANBET,34.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
23,105,BWIN,,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
6,103,PAF,51.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
11,92,SPORTINGBET,41.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
17,87,INTERTOPS,34.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
1,82,PADDYPOWER,41.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
14,76,BETFRED,67.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
19,72,BETWAY,34.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
